datetime,activity
2022/9/13 20:44,using_computer
2022/9/14 12:31,using_computer
2022/9/14 13:46,walking
2022/9/14 13:48,sitting
2022/9/14 15:06,lying
2022/9/15 10:58,sitting
2022/9/15 11:16,walking
2022/9/15 11:33,sitting
2022/9/15 11:34,walking
2022/9/15 11:44,standing
2022/9/15 12:09,sitting
2022/9/15 12:14,eating
2022/9/15 13:53,using_computer
2022/9/15 14:07,bathroom
2022/9/15 14:13,sitting
2022/9/15 14:58,bathroom
2022/9/15 15:16,sitting
2022/9/15 15:21,walking
2022/9/15 15:42,sitting
2022/9/15 16:17,walking
2022/9/15 16:28,sitting
2022/9/15 16:29,walking
2022/9/15 16:44,sitting
2022/9/15 16:46,eating
2022/9/15 16:59,walking
2022/9/15 17:35,bathroom
2022/9/15 17:37,eating
2022/9/15 17:46,walking
2022/9/15 17:49,other
2022/9/15 19:28,walking
2022/9/15 19:31,sitting
2022/9/15 19:32,eating
2022/9/15 20:01,walking
2022/9/15 20:03,lying
2022/9/16 12:52,using_computer
2022/9/16 14:27,bathroom
2022/9/16 14:33,other
2022/9/16 14:39,walking
2022/9/16 14:42,riding
2022/9/16 14:56,walking
2022/9/16 15:00,using_computer
2022/9/16 16:30,walking
2022/9/16 16:36,sitting
2022/9/16 16:42,lying
2022/9/16 18:00,sitting
2022/9/16 18:33,walking
2022/9/16 18:35,other
2022/9/16 19:04,walking
2022/9/16 19:23,eating
2022/9/16 19:31,walking
2022/9/16 19:37,other
2022/9/16 19:49,walking
2022/9/16 19:51,eating
2022/9/16 20:02,bathroom
2022/9/16 20:17,eating
2022/9/16 20:32,sitting
2022/9/16 22:03,lying
2022/9/17 12:30,sitting
2022/9/17 12:34,lying
2022/9/17 12:50,using_computer
2022/9/17 13:27,eating
2022/9/17 13:45,bathroom
2022/9/17 13:59,using_computer
2022/9/17 14:58,sitting
2022/9/17 15:10,walking
2022/9/17 15:16,driving
2022/9/17 15:53,walking
2022/9/17 15:57,riding_bicycle
2022/9/17 17:07,walking
2022/9/17 17:17,riding_bicycle
2022/9/17 18:26,walking
2022/9/17 18:27,driving
2022/9/17 18:37,walking
2022/9/17 18:47,sitting
2022/9/17 18:50,eating
2022/9/17 19:12,walking
2022/9/17 19:20,driving
2022/9/17 20:02,walking
2022/9/17 20:04,sitting
2022/9/17 20:55,using_computer
2022/9/18 14:03,walking
2022/9/18 14:07,sitting
2022/9/18 14:39,eating
2022/9/18 15:10,sitting
2022/9/18 15:17,bathroom
2022/9/18 15:28,walking
2022/9/18 15:40,sitting
2022/9/18 15:48,walking
2022/9/18 15:56,driving
2022/9/18 16:18,walking
2022/9/18 16:23,sitting
2022/9/18 18:05,walking
2022/9/18 18:07,eating
2022/9/18 18:25,sitting
2022/9/18 19:52,walking
2022/9/18 19:56,driving
2022/9/18 21:00,walking
2022/9/18 21:02,sitting
2022/9/18 22:44,lying
2022/9/19 09:04,walking
2022/9/19 09:08,other
2022/9/19 09:47,walking
2022/9/19 09:48,upstairs
2022/9/19 09:49,walking
2022/9/19 09:51,downstairs
2022/9/19 09:52,walking
2022/9/19 09:54,sitting
2022/9/19 11:50,walking
2022/9/19 11:52,driving
